Data,Partita,Casa,Ospite,Risultato_Reale,Predizione,Corretto,Prob_Casa,Prob_X,Prob_Ospite,Prob_Predizione,Confidenza,N_Partite_Dataset
2026-02-08,Lecce vs Udinese,Lecce,Udinese,H,H,True,0.377,0.36,0.263,0.377,0.377,2676
2026-02-08,Sassuolo vs Inter,Sassuolo,Inter,A,A,True,0.29,0.282,0.428,0.428,0.428,2676
2026-02-08,Juventus vs Lazio,Juventus,Lazio,D,H,False,0.534,0.317,0.15,0.534,0.534,2676
2026-02-09,Atalanta vs Cremonese,Atalanta,Cremonese,H,H,True,0.499,0.332,0.168,0.499,0.499,2680
2026-02-09,Roma vs Cagliari,Roma,Cagliari,H,H,True,0.566,0.293,0.142,0.566,0.566,2680
2026-02-13,Pisa vs Milan,Pisa,Milan,A,A,True,0.239,0.348,0.413,0.413,0.413,2682
2026-02-14,Como vs Fiorentina,Como,Fiorentina,A,H,False,0.461,0.374,0.165,0.461,0.461,2683
2026-02-14,Lazio vs Atalanta,Lazio,Atalanta,A,H,False,0.433,0.352,0.215,0.433,0.433,2683
2026-02-14,Inter vs Juventus,Inter,Juventus,H,H,True,0.576,0.259,0.165,0.576,0.576,2683
2026-02-15,Napoli vs Roma,Napoli,Roma,D,H,False,0.536,0.283,0.181,0.536,0.536,2686
2026-02-15,Cremonese vs Genoa,Cremonese,Genoa,D,D,True,0.34,0.443,0.217,0.443,0.443,2686
2026-02-15,Torino vs Bologna,Torino,Bologna,A,H,False,0.444,0.34,0.215,0.444,0.444,2686
2026-02-15,Parma vs Verona,Parma,Verona,H,H,True,0.412,0.401,0.186,0.412,0.412,2686
