data,casa,trasferta,risultato_reale,predizione,prob_h,prob_d,prob_a,confidenza,corretto
2025-02-02,Juventus,Empoli,H,H,0.531,0.326,0.144,0.531,True
2025-02-02,Fiorentina,Genoa,H,H,0.436,0.419,0.146,0.436,True
2025-02-02,Milan,Inter,D,H,0.406,0.266,0.328,0.406,False
2025-02-02,Roma,Napoli,D,H,0.492,0.281,0.227,0.492,False
2025-02-03,Cagliari,Lazio,A,D,0.327,0.395,0.278,0.395,False
2025-02-06,Fiorentina,Inter,H,A,0.286,0.31,0.404,0.404,False
2025-02-07,Como,Juventus,A,H,0.421,0.382,0.197,0.421,False
2025-02-08,Empoli,Milan,A,A,0.309,0.335,0.356,0.356,True
2025-02-08,Torino,Genoa,D,H,0.436,0.417,0.147,0.436,False
2025-02-08,Verona,Atalanta,A,D,0.331,0.337,0.332,0.337,False
2025-02-09,Napoli,Udinese,D,H,0.536,0.31,0.154,0.536,False
2025-02-09,Lazio,Monza,H,H,0.534,0.309,0.157,0.534,True
2025-02-09,Lecce,Bologna,D,D,0.32,0.392,0.288,0.392,True
2025-02-09,Venezia,Roma,A,A,0.227,0.361,0.412,0.412,True
2025-02-09,Cagliari,Parma,H,D,0.384,0.419,0.197,0.419,False
2025-02-10,Inter,Fiorentina,H,H,0.564,0.296,0.14,0.564,True
2025-02-14,Bologna,Torino,H,H,0.451,0.377,0.172,0.451,True
2025-02-15,Milan,Verona,H,H,0.561,0.3,0.14,0.561,True
2025-02-15,Atalanta,Cagliari,D,H,0.53,0.322,0.148,0.53,False
2025-02-15,Lazio,Napoli,D,H,0.493,0.269,0.238,0.493,False
2025-02-16,Monza,Lecce,D,H,0.418,0.362,0.219,0.418,False
2025-02-16,Juventus,Inter,H,H,0.392,0.305,0.303,0.392,True
2025-02-16,Parma,Roma,A,A,0.296,0.335,0.37,0.37,True
2025-02-16,Fiorentina,Como,A,D,0.345,0.408,0.247,0.408,False
2025-02-16,Udinese,Empoli,H,D,0.341,0.432,0.226,0.432,False
2025-02-17,Genoa,Venezia,H,H,0.426,0.373,0.201,0.426,True
2025-02-21,Lecce,Udinese,A,D,0.352,0.371,0.278,0.371,False
2025-02-22,Inter,Genoa,H,H,0.552,0.31,0.138,0.552,True
2025-02-22,Torino,Milan,H,D,0.323,0.351,0.326,0.351,False
2025-02-22,Parma,Bologna,H,D,0.331,0.373,0.296,0.373,False
2025-02-22,Venezia,Lazio,D,D,0.259,0.379,0.362,0.379,True
2025-02-23,Cagliari,Juventus,A,D,0.321,0.414,0.265,0.414,False
2025-02-23,Empoli,Atalanta,A,A,0.319,0.34,0.341,0.341,True
2025-02-23,Como,Napoli,H,H,0.37,0.354,0.276,0.37,True
2025-02-23,Verona,Fiorentina,H,H,0.454,0.388,0.159,0.454,True
2025-02-24,Roma,Monza,H,H,0.532,0.318,0.15,0.532,True
2025-02-27,Bologna,Milan,H,D,0.352,0.359,0.289,0.359,False
2025-02-28,Fiorentina,Lecce,H,H,0.416,0.398,0.186,0.416,True
2025-03-01,Napoli,Inter,D,H,0.385,0.272,0.343,0.385,False
2025-03-01,Udinese,Parma,H,D,0.346,0.435,0.219,0.435,False
2025-03-01,Atalanta,Venezia,D,H,0.53,0.322,0.148,0.53,False
2025-03-02,Milan,Lazio,A,H,0.522,0.309,0.169,0.522,False
2025-03-02,Roma,Como,H,H,0.515,0.315,0.17,0.515,True
2025-03-02,Genoa,Empoli,D,H,0.421,0.369,0.21,0.421,False
2025-03-02,Monza,Torino,A,H,0.395,0.358,0.247,0.395,False
2025-03-02,Bologna,Cagliari,H,H,0.466,0.379,0.155,0.466,True
2025-03-03,Juventus,Verona,H,H,0.536,0.325,0.139,0.536,True
2025-03-07,Cagliari,Genoa,D,D,0.394,0.457,0.149,0.457,True
2025-03-08,Inter,Monza,H,H,0.513,0.335,0.152,0.513,True
2025-03-08,Lecce,Milan,A,A,0.266,0.348,0.387,0.387,True
2025-03-08,Como,Venezia,D,H,0.52,0.335,0.145,0.52,False
2025-03-08,Parma,Torino,D,H,0.371,0.364,0.265,0.371,False
2025-03-09,Juventus,Atalanta,A,H,0.451,0.344,0.205,0.451,False
